age_bracket|agency|agency_code|annualized_adjusted_basic_pay|count
25-29|DEPARTMENT OF AGRICULTURE|AG|64625|1
20-24|DEPARTMENT OF AGRICULTURE|AG|52832|1
25-29|DEPARTMENT OF AGRICULTURE|AG|52832|1
35-39|DEPARTMENT OF AGRICULTURE|AG|78189|1
35-39|DEPARTMENT OF AGRICULTURE|AG|54594|1
55-59|DEPARTMENT OF AGRICULTURE|AG|99965|1
35-39|DEPARTMENT OF AGRICULTURE|AG|43827|1
25-29|DEPARTMENT OF AGRICULTURE|AG|49129|1
20-24|DEPARTMENT OF AGRICULTURE|AG|38121|1
25-29|DEPARTMENT OF AGRICULTURE|AG|47544|1
40-44|DEPARTMENT OF THE ARMY|AR|REDACTED|1
25-29|DEPARTMENT OF THE ARMY|AR|REDACTED|1
55-59|DEPARTMENT OF THE ARMY|AR|REDACTED|1
50-54|DEPARTMENT OF THE ARMY|AR|REDACTED|1
40-44|DEPARTMENT OF THE ARMY|AR|REDACTED|1
50-54|SMALL BUSINESS ADMINISTRATION|SB|78189|1
55-59|DEPARTMENT OF VETERANS AFFAIRS|VA|99036|1
65 OR MORE|DEPARTMENT OF VETERANS AFFAIRS|VA|71086|1
45-49|SOCIAL SECURITY ADMINISTRATION|SZ|58509|1
35-39|SMALL BUSINESS ADMINISTRATION|SB|66779|1
45-49|SOCIAL SECURITY ADMINISTRATION|SZ|91218|1
45-49|SOCIAL SECURITY ADMINISTRATION|SZ|83401|1
60-64|DEPARTMENT OF TREASURY|TR|115157|1
65 OR MORE|DEPARTMENT OF VETERANS AFFAIRS|VA|153638|1
55-59|DEPARTMENT OF THE NAVY|NV|REDACTED|1
55-59|DEPARTMENT OF TRANSPORTATION|TD|109339|1
55-59|DEPARTMENT OF VETERANS AFFAIRS|VA|REDACTED|1
35-39|DEPARTMENT OF TRANSPORTATION|TD|REDACTED|1
60-64|DEPARTMENT OF VETERANS AFFAIRS|VA|111442|1
35-39|DEPARTMENT OF VETERANS AFFAIRS|VA|71166|1
45-49|SOCIAL SECURITY ADMINISTRATION|SZ|83401|1
40-44|SOCIAL SECURITY ADMINISTRATION|SZ|99965|1
40-44|SOCIAL SECURITY ADMINISTRATION|SZ|96841|1
40-44|SOCIAL SECURITY ADMINISTRATION|SZ|96841|1
50-54|SOCIAL SECURITY ADMINISTRATION|SZ|112463|1
60-64|OFFICE OF PERSONNEL MANAGEMENT|OM|216500|1
55-59|DEPARTMENT OF VETERANS AFFAIRS|VA|99965|1
45-49|DEPARTMENT OF VETERANS AFFAIRS|VA|66779|1
40-44|DEPARTMENT OF THE ARMY|AR|REDACTED|1
40-44|DEPARTMENT OF DEFENSE|DD|REDACTED|1
25-29|DEPARTMENT OF THE ARMY|AR|REDACTED|1
25-29|DEPARTMENT OF DEFENSE|DD|REDACTED|1
