ip,timestamp,method,url,status,size,ResponseTimeMs
54.36.149.41,22/Jan/2019:03:56:14 +0330,GET,"/filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53",200,30577,762
31.56.96.51,22/Jan/2019:03:56:16 +0330,GET,/image/60844/productModel/200x200,200,5667,774
31.56.96.51,22/Jan/2019:03:56:16 +0330,GET,/image/61474/productModel/200x200,200,5379,343
40.77.167.129,22/Jan/2019:03:56:17 +0330,GET,/image/14925/productModel/100x100,200,1696,595
91.99.72.15,22/Jan/2019:03:56:17 +0330,GET,/product/31893/62100/%D8%B3%D8%B4%D9%88%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR257AT,200,41483,889
40.77.167.129,22/Jan/2019:03:56:17 +0330,GET,/image/23488/productModel/150x150,200,2654,765
40.77.167.129,22/Jan/2019:03:56:18 +0330,GET,/image/45437/productModel/150x150,200,3688,856
40.77.167.129,22/Jan/2019:03:56:18 +0330,GET,/image/576/article/100x100,200,14776,129
66.249.66.194,22/Jan/2019:03:56:18 +0330,GET,"/filter/b41,b665,c150%7C%D8%A8%D8%AE%D8%A7%D8%B1%D9%BE%D8%B2,p56",200,34277,34
40.77.167.129,22/Jan/2019:03:56:18 +0330,GET,/image/57710/productModel/100x100,200,1695,495
207.46.13.136,22/Jan/2019:03:56:18 +0330,GET,/product/10214,200,39677,271
